what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324001734
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1457324001812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1457324006609
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1457324008187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324009000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324009781
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1457324009859
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324012218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324032125
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324033187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324037328
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1457324037421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324039968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324070296
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324070640
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324072187
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1457324072265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324076812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324083843
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324084500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324085437
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1457324085484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324087390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324104203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457324104640
