what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1457184412062
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184435968
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1457184436031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184438515
started,bundle,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.ui,1457184447390
started,bundle,org.eclipse.jst.jsf.ui,1.1.102.v20090128,org.eclipse.jst.jsf.ui,1457184447703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184457484
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1457184457531
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1457184458843
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.103.v200810081720,org.eclipse.wst.jsdt.web.support.jsp,1457184458875
opened,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1457184459921
activated,editor,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.core.jspsource.source,1457184460437
started,bundle,org.eclipse.jst.j2ee.jca,1.1.203.v200811060900,org.eclipse.jst.j2ee.jca,1457184460593
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.203.v200811060500,org.eclipse.jst.j2ee.ejb,1457184460640
started,bundle,org.eclipse.jpt.core,2.0.102.v200901160200,org.eclipse.jpt.core,1457184460765
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1457184460984
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1457184552687
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184554906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184583859
started,bundle,org.eclipse.jst.jee.ejb,1.0.102.v200810230722,org.eclipse.jst.jee.ejb,1457184593031
started,bundle,org.eclipse.jst.jee.web,1.0.101.v200810230738,org.eclipse.jst.jee.web,1457184593046
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184593218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184594062
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184594187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457184595265
