what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323373171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323374312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323386937
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323395656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323418468
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1457323418515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323420937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323468625
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457323472031
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457323472031
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1457323473312
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457323473312
closed,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1457323474718
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457323476140
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457323480046
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457323480125
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1457323482828
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323484015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323488171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323490484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323519921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323548843
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323788734
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457323788750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323796921
