what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1457322896609
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1457322897437
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1457322899109
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457322900281
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1457322900375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457322907328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457322922875
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1457322922906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457322942296
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1457322968390
started,bundle,org.eclipse.wst.common.environment,1.0.202.v200807161459,org.eclipse.wst.common.environment,1457322968390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323028718
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1457323028796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323030625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323030640
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323030781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323107296
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1457323112046
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1457323113375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323114578
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323114593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323114984
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1457323119531
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457323120968
activated,editor,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.core.htmlsource.source,1457323121343
